"ambiguous_word","id","gloss","role_category","gloss_lower"
"ill",2792272,"okay ill put the bowl over here","Mother","okay ill put the bowl over here"
"odd",2815642,"um which I thought was odd because he doesn't really play with stuffed animals at home","Mother","um which i thought was odd because he doesn't really play with stuffed animals at home"
"alarm",2817723,"and um she has like a set of keys that have like an alarm button on them","Mother","and um she has like a set of keys that have like an alarm button on them"
"odd",2824508,"I thought it was odd how he was sitting still the whole time at home he never sits still","Mother","i thought it was odd how he was sitting still the whole time at home he never sits still"
"odd",2826951,"yeah we have some odd ones in here don't we","Other Adult","yeah we have some odd ones in here don't we"
"odd",2829779,"she doesn't like spaghetti which I think is odd","Mother","she doesn't like spaghetti which i think is odd"
"odd",2837529,"it's kinda odd that they design toys like this","Other Adult","it's kinda odd that they design toys like this"
"ill",2871702,"let me see ill tell you if it's triple","Father","let me see ill tell you if it's triple"
"rotten",2888671,"r is for rotten rubbers","Mother","r is for rotten rubbers"
"alarm",2895336,"that's the um that's the alarm","Mother","that's the um that's the alarm"
"alarm",2895356,"alarm","Target Child","alarm"
"alarm",2895452,"well it's the alarm went","Mother","well it's the alarm went"
"alarm",2895465,"the alarm went","Mother","the alarm went"
"alarm",2895485,"yeah but the alarm went","Mother","yeah but the alarm went"
"alarm",2896076,"listen we hafta hurry and read this book because your alarm already went off","Mother","listen we hafta hurry and read this book because your alarm already went off"
"crushed",2904176,"it was crushed by Dingo's car","Father","it was crushed by dingo's car"
"crushed",2904190,"it was crushed by Dingo's car","Target Child","it was crushed by dingo's car"
"crushed",2918880,"it was crushed by Dingo's car","Father","it was crushed by dingo's car"
"alarm",2935384,"that's the that's the alarm","Mother","that's the that's the alarm"
"alarm",2935405,"alarm","Target Child","alarm"
"alarm",2935497,"well the alarm went","Mother","well the alarm went"
"alarm",2935531,"yeah but the alarm went","Mother","yeah but the alarm went"
"alarm",2936166,"listen we hafta hurry and read this book cuz your alarm already went off","Mother","listen we hafta hurry and read this book cuz your alarm already went off"
"faint",17271738,"she's about ready to faint","Mother","she's about ready to faint"
"crushed",17272071,"oh look what you xxx did you crushed your cracker","Mother","oh look what you xxx did you crushed your cracker"
"crushed",17272277,"you crushed your cookie","Mother","you crushed your cookie"
"odd",17287014,"well and there are only forty some odd","Known Adult","well and there are only forty some odd"
"alarm",17287281,"I hear an alarm clock","Mother","i hear an alarm clock"
"faint",17327658,"well she was a young girl and in J_C_Penney I thought she was gonna faint","Mother","well she was a young girl and in j_c_penney i thought she was gonna faint"
"alarm",17345515,"yes okay so let's get the bell for the alarm clock","Mother","yes okay so let's get the bell for the alarm clock"
"tender",17359815,"caboose too big we need the little train we need the tender","Mother","caboose too big we need the little train we need the tender"
"crushed",17363655,"I crushed it","Mother","i crushed it"
"crushed",17363695,"I crushed it","Mother","i crushed it"
"alarm",17364453,"alarm yyy","Target Child","alarm yyy"
"tender",17364967,"the tender car is a coal car","Mother","the tender car is a coal car"
"tender",17364981,"tender car carries coal","Mother","tender car carries coal"
"tender",17365619,"can he pick up the tender car with all the coal you think","Mother","can he pick up the tender car with all the coal you think"
"tender",17365855,"xxx pick up the tender car","Mother","xxx pick up the tender car"
"tender",17366154,"here goes the tender","Mother","here goes the tender"
"tender",17367220,"is this tender","Target Child","is this tender"
"tender",17367245,"there's a tender up there yeah","Mother","there's a tender up there yeah"
"tender",17367276,"I see Douglas' tender","Mother","i see douglas' tender"
"tender",17368021,"coal car yeah coal is in the tender car","Mother","coal car yeah coal is in the tender car"
"tender",17369139,"and I think that must be his tender huh you think that's his tender","Mother","and i think that must be his tender huh you think that's his tender"
"tender",17369189,"that must be his tender","Mother","that must be his tender"
"tender",17371117,"were Douglas and his tender taking a little nap","Mother","were douglas and his tender taking a little nap"
"tender",17371751,"she pushed James's tender outta the way","Mother","she pushed james's tender outta the way"
"tender",17381174,"dyou think he shares his tender","Mother","dyou think he shares his tender"
"tender",17381190,"where is his tender","Target Child","where is his tender"
"tender",17381338,"here's his tender and there's the coal","Mother","here's his tender and there's the coal"
"tender",17382307,"because this is Gordon's tender","Mother","because this is gordon's tender"
"tender",17382859,"tender","Target Child","tender"
"tender",17382874,"tender","Mother","tender"
"tender",17401036,"whoa he ran away without his tender car","Mother","whoa he ran away without his tender car"
"tender",17401847,"he forgot his tender","Mother","he forgot his tender"
"odd",17438120,"something very odd seemed to be going on inside the Punch and Judy tent","Mother","something very odd seemed to be going on inside the punch and judy tent"
"alarm",17443749,"that was Al he's coming to replace the batteries for the alarm","Mother","that was al he's coming to replace the batteries for the alarm"
"alarm",17447525,"I think it was a car alarm","Mother","i think it was a car alarm"
"alarm",17466044,"a fire alarm","Target Child","a fire alarm"
"alarm",17466051,"a fire alarm","Mother","a fire alarm"
"alarm",17466074,"they had a fire alarm at the supermarket","Mother","they had a fire alarm at the supermarket"
"alarm",17466086,"yeah no a fire alarm into my car","Target Child","yeah no a fire alarm into my car"
"alarm",17466102,"xxx you're going to bring a fire alarm into your car","Mother","xxx you're going to bring a fire alarm into your car"
"alarm",17466266,"when fire fighters hear the alarm they hafta move quickly","Mother","when fire fighters hear the alarm they hafta move quickly"
"alarm",17479376,"when the moon rose and saw them warming themselves around the fire they had lit it shouted out an alarm","Mother","when the moon rose and saw them warming themselves around the fire they had lit it shouted out an alarm"
"crushed",17481706,"then he pushed the up and over button on his brand new power city rocker crushed dump truck","Mother","then he pushed the up and over button on his brand new power city rocker crushed dump truck"
"faint",17489208,"Toot was startled by a tinkling jingling sound as he peered into the dark he saw a faint light coming toward him","Mother","toot was startled by a tinkling jingling sound as he peered into the dark he saw a faint light coming toward him"
"rotten",17490267,"byebye old rotten green beans","Mother","byebye old rotten green beans"
"rotten",17494747,"water's filled with hydrogen sulfide a chemical that smells like rotten eggs","Mother","water's filled with hydrogen sulfide a chemical that smells like rotten eggs"
"crushed",17499341,"living with sharp teeth and sharp bony crushed on top of its head","Target Child","living with sharp teeth and sharp bony crushed on top of its head"
"crushed",17501726,"I was crushed Eric was going to marry Vanessa","Mother","i was crushed eric was going to marry vanessa"
"odd",17512577,"can you find the person I wanna play the odd game I wanna play the odd I wanna play the odd game","Mother","can you find the person i wanna play the odd game i wanna play the odd i wanna play the odd game"
"odd",17516691,"yyy odd person odd person","Target Child","yyy odd person odd person"
"odd",17516705,"odd person","Mother","odd person"
"odd",17516719,"odd game","Target Child","odd game"
"odd",17516732,"oh the person to play the odd game with","Mother","oh the person to play the odd game with"
"odd",17516744,"the odd game is only played with a little person","Mother","the odd game is only played with a little person"
"odd",17524422,"odd are you an odd person","Mother","odd are you an odd person"
"odd",17524578,"odd game","Mother","odd game"
"odd",17524592,"oh you like playing an odd game","Mother","oh you like playing an odd game"
"odd",17529091,"odd person","Target Child","odd person"
"odd",17529103,"odd person","Mother","odd person"
"odd",17529114,"I'm not so sure I'm up to playing the odd game with you","Mother","i'm not so sure i'm up to playing the odd game with you"
"odd",17532831,"here's the odd person","Mother","here's the odd person"
"rotten",17533126,"well because it's um sulfur smells like rotten eggs","Mother","well because it's um sulfur smells like rotten eggs"
"odd",17535196,"odd game person","Target Child","odd game person"
"odd",17535208,"where's odd game person","Target Child","where's odd game person"
"odd",17535229,"odd odd game","Target Child","odd odd game"
"odd",17535292,"person odd game","Target Child","person odd game"
"odd",17537369,"the person is the person you use for playing the odd game and here's another person","Mother","the person is the person you use for playing the odd game and here's another person"
"odd",17537384,"odd yyy odd yyy odd","Target Child","odd yyy odd yyy odd"
"odd",17537397,"Daddy called it the odd game","Mother","daddy called it the odd game"
"gloomy",17545451,"in order to say how do you do in a gloomy manner to him","Mother","in order to say how do you do in a gloomy manner to him"
"gloomy",17545507,"gloomy","Mother","gloomy"
"gloomy",17545531,"gloomy xxx","Mother","gloomy xxx"
"gloomy",17550975,"Eeyore's very gloomy","Mother","eeyore's very gloomy"
"rotten",17558015,"oh_my_goodness there's some rotten yucky stuff in this refrigerator","Mother","oh_my_goodness there's some rotten yucky stuff in this refrigerator"
"rotten",17558091,"well there was a cucumber that was rotten basically","Mother","well there was a cucumber that was rotten basically"
"rotten",17558107,"I had to throw out a rotten cucumber","Mother","i had to throw out a rotten cucumber"
"gloomy",17583768,"xxx Eeyore's gloomy place","Mother","xxx eeyore's gloomy place"
"rotten",17585252,"oh this green pepper feels rotten","Mother","oh this green pepper feels rotten"
"rotten",17585334,"I said it was feeling a little bit rotten","Mother","i said it was feeling a little bit rotten"
"rotten",17586144,"some are rotten","Target Child","some are rotten"
"rotten",17586160,"rotten","Mother","rotten"
"rotten",17586345,"and which ones are rotten","Mother","and which ones are rotten"
"rotten",17586358,"how many teeth are rotten","Mother","how many teeth are rotten"
"rotten",17586386,"are there only certain ones that are rotten","Mother","are there only certain ones that are rotten"
"rotten",17586401,"this one is tooth is rotten","Target Child","this one is tooth is rotten"
"rotten",17586498,"cavity is a hole in your tooth that you get when your teeth are really rotten","Mother","cavity is a hole in your tooth that you get when your teeth are really rotten"
"rotten",17587024,"yes oh yes I see that rotten tooth right there","Mother","yes oh yes i see that rotten tooth right there"
"rotten",17587129,"if it's really rotten we might hafta pull it out but I don't think it's that bad","Mother","if it's really rotten we might hafta pull it out but i don't think it's that bad"
"rotten",17589024,"see this is this is the rotten tooth I took out","Target Child","see this is this is the rotten tooth i took out"
"alarm",17627112,"daddy's alarm keeps going off huh","Mother","daddy's alarm keeps going off huh"
"alarm",17627298,"your alarm's going off","Mother","your alarm's going off"
"tender",17647110,"as soon as snowy is able to eat father and mother owl feed him tender bits they have stored nearby","Mother","as soon as snowy is able to eat father and mother owl feed him tender bits they have stored nearby"
"tender",17665649,"he lost his coal tender","Mother","he lost his coal tender"
"odd",17699852,"well this is odd","Mother","well this is odd"
