"ambiguous_word","id","gloss","role_category","gloss_lower"
"rotten",749197,"you rotten kid","Mother","you rotten kid"
"alarm",757388,"because usually some mornings I don't you know like I I the alarm goes off and I sleep right through it forget about it","Mother","because usually some mornings i don't you know like i i the alarm goes off and i sleep right through it forget about it"
"ill",766180,"ill","Target Child","ill"
"rotten",782544,"a little rotten spot","Mother","a little rotten spot"
"rotten",799146,"if you're not a cop I'll call you a rotten egg","Other Child","if you're not a cop i'll call you a rotten egg"
"alarm",799649,"you slept so late you did not hear Daddy's alarm","Father","you slept so late you did not hear daddy's alarm"
"alarm",805576,"who rang the fire alarm","Sibling","who rang the fire alarm"
"alarm",805591,"it's a false alarm I think","Other Adult","it's a false alarm i think"
"alarm",805722,"someone press the alarm","Target Child","someone press the alarm"
"alarm",805724,"someone press the alarm there's no fire","Target Child","someone press the alarm there's no fire"
"alarm",805727,"there's some one just press the alarm","Target Child","there's some one just press the alarm"
"alarm",805731,"someone just press the alarm","Target Child","someone just press the alarm"
"alarm",805942,"you pulled the fire alarm","Target Child","you pulled the fire alarm"
"rotten",817613,"are you a dirty rotten pig or a dirty nice pig","Other Adult","are you a dirty rotten pig or a dirty nice pig"
"rotten",817621,"a dirty rotten pig","Target Child","a dirty rotten pig"
"crushed",819179,"my feelings are just crushed","Other Adult","my feelings are just crushed"
"crushed",819182,"they not crushed","Target Child","they not crushed"
"alarm",890954,"put the alarm on okay","Mother","put the alarm on okay"
"alarm",890981,"okay now shall I be the alarm clock","Mother","okay now shall i be the alarm clock"
"alarm",900469,"now remember to wait for the alarm","Mother","now remember to wait for the alarm"
"alarm",900477,"you play until you hear the alarm goes off","Mother","you play until you hear the alarm goes off"
"alarm",900502,"I play until the alarm goes on","Target Child","i play until the alarm goes on"
"alarm",900531,"before the alarm what are you gonna do","Mother","before the alarm what are you gonna do"
"faint",946715,"man I'm getting ready to faint","Mother","man i'm getting ready to faint"
"faint",946754,"no I said that I'm getting ready to faint","Mother","no i said that i'm getting ready to faint"
"crushed",972593,"your arm's crushed","Target Child","your arm's crushed"
"tender",979078,"sometimes this this foot will get tender","Target Child","sometimes this this foot will get tender"
"rotten",987615,"it was real red and not rotten at all","Target Child","it was real red and not rotten at all"
"odd",993639,"and as he recalls we pay some thirty odd dollars in repair in work just to get it fixed","Father","and as he recalls we pay some thirty odd dollars in repair in work just to get it fixed"
"ill",1006772,"you think that would make me look sick and ill","Mother","you think that would make me look sick and ill"
"rotten",1013853,"what a rotten deal I got stuck with","Mother","what a rotten deal i got stuck with"
"alarm",1038600,"oh I better stop the alarm","Other Adult","oh i better stop the alarm"
"ill",1049666,"we got ill and old right","Other Adult","we got ill and old right"
"ill",1071050,"we're remembering that he's cold and ill","Other Adult","we're remembering that he's cold and ill"
"ill",1071062,"cold and ill","Other Adult","cold and ill"
"ill",1071078,"very very cold and ill","Other Adult","very very cold and ill"
"ill",1071107,"very very ill","Other Adult","very very ill"
"alarm",1078956,"my alarm clock is set to go off in the morning","Mother","my alarm clock is set to go off in the morning"
"gloomy",1083121,"besides winter is so gloomy thought Big Bird","Mother","besides winter is so gloomy thought big bird"
"rotten",1104561,"yeah xxx spoiled rotten little baby","Other Adult","yeah xxx spoiled rotten little baby"
"tender",1110743,"well they'll both be nice and tender on the inside","Mother","well they'll both be nice and tender on the inside"
"rotten",1116399,"the ones we had in there were went bad they were rotten","Mother","the ones we had in there were went bad they were rotten"
"rotten",1118456,"oh you rotten egg","Sibling","oh you rotten egg"
"rotten",1118463,"right I'm gonna be in a rotten egg right","Sibling","right i'm gonna be in a rotten egg right"
"rotten",1118471,"no you're not gonna be a rotten egg Eric's gonna be a rotten egg","Mother","no you're not gonna be a rotten egg eric's gonna be a rotten egg"
"rotten",1118489,"I'm gonna be a rotten egg","Sibling","i'm gonna be a rotten egg"
"rotten",1118510,"he's gonna be the rotten egg","Mother","he's gonna be the rotten egg"
"rotten",1118531,"Eric's gonna be a rotten egg","Sibling","eric's gonna be a rotten egg"
"rotten",1118541,"rotten egg","Mother","rotten egg"
"rotten",1118549,"rotten egg","Sibling","rotten egg"
"rotten",1118670,"I'm a rotten egg","Target Child","i'm a rotten egg"
"rotten",1118677,"I'm a rotten egg Nikki","Target Child","i'm a rotten egg nikki"
"faint",1146196,"faint","Target Child","faint"
"faint",1146203,"faint","Mother","faint"
"gloomy",1161295,"he looked very gloom and gloomy","Mother","he looked very gloom and gloomy"
"rotten",1170893,"jumped out of a rotten potato","Target Child","jumped out of a rotten potato"
"rotten",1170900,"then they went zoom by a rotten potato","Target Child","then they went zoom by a rotten potato"
"rotten",1170963,"they all jumped out of rotten a potato","Mother","they all jumped out of rotten a potato"
