"doc_id","text","strong_sense_margin"
"1089238","the third little pig built a strong house a strong brick house",0.0554663513937238
"2928622","are you strong",0.0553662457260485
"1461803","so yeah so i definitely encourage them to be strong",0.0550333318076312
"1100723","it was not a very good house or very strong",0.0548062265685285
"17383217","xxx you're strong",0.054632547835628
"1356189","strong man",0.0526509276166959
"1799849","strong man",0.0526509276166959
"17459449","very nice you're strong",0.0523880195640524
"1836216","how can you tell that you're strong",0.0521165832469545
"2419618","you're messing all that up you are a strong boy",0.0512007696707121
"1799693","do you mean strong man",0.0510585661909003
"2436747","this is not a strong one",0.05097032252877
"2008130","i've seen you're strong now put it down",0.0500353417532849
"1782151","being stirred doesn't make you big strong and healthy",0.0497414509706375
"1414425","you hafta be strong",0.0492143194480338
"1426674","you hafta be strong",0.0492143194480338
"723458","alright now see that's another strong way of doing it",0.04885489032882
"2008134","you're at least as strong as daddy",0.0486719259111243
"1836756","yes you're very strong aren't you",0.048519833937137
"1547263","mm flexing i guess either before or after the demonstration to show how strong he is",0.0481892585857261
"609376","yeah but it's not just enough knowing how to box you hafta be strong enough to box",0.0481686389478105
"1997296","he got strong",0.0479813664500426
"2020047","little kids have strong eyes",0.0475306398216881
"1855457","that box isn't very strong",0.0471946249559853
"2165445","yeah you're strong",0.0470058159288178
"1415863","yeah you're pretty strong",0.046299805082831
"1251971","we need somebody strong xxx",0.0458207277806645
"1950144","that's pretty strong language",0.0457794868731035
"1505119","uh this is a cartoon character of a strong man",0.0455929598122193
"1004797","you are getting so big and strong",0.0452664835022031
"1059667","she is strong",0.0450409748776772
"1438963","a strong man",0.044671286406045
"1530691","a strong man",0.044671286406045
"1451924","so maybe if you're a big strong woman you could be a firefighter huh",0.0444384501189776
"1358488","strong",0.0439487611120072
"1441251","strong",0.0439487611120072
"1469333","strong",0.0439487611120072
"1514701","strong",0.0439487611120072
"2198173","strong",0.0439487611120072
"612149","strong",0.0439487538905632
"1058120","strong",0.0439487538905632
"1469323","strong",0.0439487538905632
"1535552","strong",0.0439487538905632
"1536322","strong",0.0439487538905632
"2928507","strong",0.0439487538905632
"1357477","that's really strong huh",0.0437732187640399
"1426595","you needta be strong",0.0435910332903918
"2534415","wow you must be strong",0.0433002776923383
"1924861","i'm not strong yet",0.0417110565035909
"1776274","strong and healthy",0.041683989940522
"724030","how do you like this strong building over here bernice",0.0411047950610531
"2028873","yeah what was that word about him that makes too strong and everything",0.0407236421613751
"1497484","does it matter if you're a boy or a girl if you're strong",0.0405549696668533
"1926182","that makes ya good and strong",0.0403816027065804
"17374164","gordon helped him out of the mine that was nice of him because gordon's a big strong engine",0.0402012096841229
"2197137","yes very strong boy",0.0399087954154437
"2212468","you strong",0.0394713098007435
"1461363","this is a strong man",0.0391081278555251
"2419930","mama mister strong boy",0.0389822755798651
"2180455","you little strong one aren't ya",0.0382165656839639
"815233","i know you're strong",0.0359309047751426
"2002040","it means first they start out and they're real strong",0.0350351891283215
"2109232","can you talk in a strong voice into the tape recorder",0.034882980995421
"17487173","she is head+strong and impulsive",0.0348820536612279
"1350034","feel how strong that is",0.0347296842649564
"2813841","so so that's a very strong piece of the department here",0.0342880354555388
"2048552","he's a strong fellow huh",0.034190271708648
"2212520","you so strong",0.0338689030787965
"1805661","are those strong men",0.0333080366498364
"978610","wow that sure was a strong cowboy",0.0333031911040803
"2829412","she's got a strong back for propping herself to look",0.0332706649509581
"1474038","oh strong",0.0332004360267648
"1427372","well maybe she's a strong girl hm",0.0328534225791766
"701255","you know he's not that ah that strong",0.0326393898743085
"652671","you're strong too you know",0.032329388849257
"1997093","he had picked up a big brick and people had told him that he was really strong",0.0321722612231714
"1497571","a strong a girl could play",0.0318533769135076
"720693","you you built it very strong",0.031457423543401
"2554474","strong yeah",0.0313437288395234
"1471368","this is a silly strong man",0.0300884933243023
"2138020","strong what",0.0297812543693063
"722948","okay that's the strong way to build it is this way",0.0297208078475517
"1342410","that's a xxx pretty strong guy",0.0291750284289816
"2047468","never hit someone with a strong hand",0.0291477896065426
"1135846","nice and strong",0.0276339201273526
"17387276","wow you're strong",0.0271368110577376
"1109780","yeah you're gonna be strong so eat up all your food",0.0269980724850607
"1693875","you're not you're not strong enough",0.0263694822050856
"2802111","you are so strong",0.0262437422733761
"1607478","okay well i'll let you strong persons",0.0259075099484787
"1415106","donkeys strong",0.0251176162387874
"1684875","you will grow big and strong",0.0249985386276499
"17396209","xxx wow you're so strong xxx",0.0249490664140308
"1546104","someone really strong",0.0248068316914695
"2256657","boy you're so strong you'll be walking any day now",0.0247575154624619
"1361294","this magnet is really strong in this box",0.0246410041523948
"2263291","wow you're pretty strong henry",0.024489372631206
"1444436","but i see you know just the protection they has is uh very strong protection so uh",0.0239382022441776
"1998191","i see that strong",0.0237358912358041
"1446491","a strong guy",0.0233483568060172
"1495014","a strong guy",0.0233483568060172
"1751150","you're a strong girl",0.0232050761246296
"787735","because you're getting a little too strong for me",0.0230555886565459
"2893406","the moon is coming out big and round and strong",0.0228334420139028
"2420278","you're incredibly strong",0.0222968897942632
"2419603","you're very strong aren't you",0.0220590740485528
"1497697","i bet i've played football before and i'm not very i'm not that strong",0.0218636416827062
"17658783","big strong violet",0.0216362295102016
"570917","too strong xxx they jumped from the lady's hat the other xxx are xxx",0.0215859037080144
"815323","you've got a strong head",0.0214913132103448
"1497522","you mean even a strong girl can't play football",0.0214083377569038
"2539130","oh wow strong baby",0.021342450110148
"1765634","who is big and strong",0.02076494232494
"2008132","i believe your strong",0.0207030704973463
"2056478","cause you're not strong enough",0.019792735567181
"1062943","i'm really strong",0.0197390440402118
"1453508","you think the strong man would be firstname's favorite",0.0195674885062236
"612115","a strong man and what would be on his face",0.0194400022890614
"1447290","and they go out there and what they do they need somebody strong so they have the guy lift the ladies up in the air and throw them up in the air and they yell and scream and cheer",0.0193083499882008
"17452160","there was a sturdy bar as well for miffy to spin around how strong and brave of her or so her mother found",0.0192752636082261
"17686158","loud and clear and strong",0.0191305820517394
"2258893","weak and strong",0.0185047449861879
"2259785","weak and strong",0.0185047449861879
"2260146","weak and strong",0.0185047449861879
"2260472","weak and strong",0.0185047449861879
"2272410","weak and strong",0.0185047449861879
"2272551","weak and strong",0.0185047449861879
"2272698","weak and strong",0.0185047449861879
"1043946","that is strong",0.0183922327328885
"1086048","and this is why i always tell you to eat your food you're sposta eat everything that i gave you and that's the only way you gonna get big and strong and smart hm",0.0179358853918013
"1675309","hm you're strong",0.0177533209509703
"1350216","feel how strong did you feel how strong it is",0.0176737242058035
"17644977","when you're big and strong you have what",0.0175627460580204
"17658766","about the big strong violet",0.0172048622728744
"720641","sure but but but it really it lasted because you built it very strong from the start",0.0168292352317684
"2028316","you're growing very very big and strong",0.0166870907494081
"2212505","oh you so strong",0.016579351418717
"2376950","we're strong",0.0165206533111791
"614913","boy you must be very strong to push down the kitchen furniture",0.0156181751366515
"17307486","boy you know this you hafta be very strong",0.0151716281119413
"1259487","you need a lot of different kinds of foods to make you grow strong sis",0.0147182545843531
"2452103","drink milk to grow strong",0.0143110594254988
"2452126","drink milk to grow strong",0.0143110594254988
"1450037","so they they usually need to eat special puppy food to help them grow big and strong",0.0142765263263209
"594000","oh_my_goodness remi has a strong voice",0.0141676534202717
"17381381","there oof you're strong",0.013272715918698
"1132044","oh yes you're so strong",0.0131369723649383
"1353388","that's pretty strong",0.0127414725503496
"2597238","he must be strong huh",0.012621169506598
"1806162","give me the strong man",0.0122863443920678
"1995717","come on big sister oo what a big strong sister",0.0122746811364273
"320109","but the big strong engine said",0.0122208459956607
"1451915","that's probably why they want big strong people",0.0117058968514551
"2420392","my goodness what a strong baby",0.0112304622510606
"1350231","that's pretty strong though",0.0111576747812822
"992982","she's very strong",0.0109164438563135
"1764886","strong as mickey_mouse",0.0105201311724135
"2862519","you came on strong at the end to beat me",0.0104488387521859
"1414439","why do you hafta be strong",0.0102843123779011
"1650538","you're pretty strong",0.00936018743550759
"2489343","you're pretty strong",0.00936018743550759
"1799703","is that the circus strong man",0.00888397310324829
"949324","you have a strong head",0.00883572035258556
"1110691","you're really strong",0.00869087583282641
"1246787","that's really strong",0.00830412251236018
"2534424","you're a very strong dog",0.0082282942503305
"947328","someone was too strong",0.00776250663262124
"1115889","every food and every liquid gives you some kind of vitamins or helps you get big and strong",0.00758015286697178
"386068","it had strong bars on the windows and doors to keep everyone out now sam and dudley hadta think of a way to make the thieves come out",0.0073217331748241
"2197483","oh alexander you're so strong",0.00711134983229511
"1903215","and he's still going strong",0.00688703949845232
"721594","you and steven start the b the strong building",0.00662394078805195
"714623","it will make you nice and strong",0.00623178412531344
"1523546","does it make you strong",0.00557588257305369
"1441851","if you were strong enough i bet you could",0.00534002877051742
"1521676","he's strong and powerful",0.00522844412824452
"948780","i'm strong like bull",0.00515900578245448
"17370035","he's nice and strong",0.00476304970905422
"732859","the great big enormous turnip once upon a time an old man plant a little turnip and said grow grow little turnip grow sweet grow little grow strong",0.00474376252501116
"723431","jo joey's helped to build that other strong building that's how he knows",0.00461299217102923
"696079","you got nice strong legs",0.00408024594363166
"1489577","weak is not strong",0.00387484741013872
"17656733","look how strong he his",0.00327865005538908
"608170","no aquaman is stronger than batman no batman a strong bat xxx ow",0.00320467096981605
"1950358","let me see how strong you are sarah",0.00300924993521823
"1734142","oh you're strong",0.00202248263016674
"2525090","oh you're strong",0.00202248263016674
"2584408","push it you gotta be very strong",0.00113023455624511
"1607541","there that's strong",0.000479080436200985
"1436368","or strong",0.00013425496470576
