"role_category","count","freq_per_1000_words"
"ADT",3582,15.3945332645694
"FAT",18412,19.5060969795849
"MOT",104343,16.7135671051089
"OTH_A",21398,15.5209131211847
"OTH_C",2444,12.2885084345225
"SIB",4080,15.2452694825576
